page_num,student_id
561,131535
561,131540
562,131551
562,131571
563,134975
563,131621
564,131623
564,131624
565,131643
565,131648
566,131660
566,131671
567,131684
567,131685
568,131694
568,131698
569,131701
569,131716
570,131725
570,131746
571,124731
571,131773
572,131783
572,131792
573,131801
573,131811
574,131817
574,131830
575,131834
575,131843
576,131851
576,131860
577,131903
577,131910
578,131928
578,121927
579,131952
579,131964
580,131967
580,101884
581,132047
581,134769
582,132050
582,132051
583,134663
583,134770
584,132141
584,122116
585,132148
585,134979
586,132177
586,132190
587,132199
587,132232
588,132243
588,132286
589,132302
589,132325
590,132336
590,132365
591,132368
591,132384
592,132400
592,132465
593,132474
593,132514
594,132553
594,132556
595,132685
595,132589
596,132590
596,132616
597,132617
597,132620
598,112532
598,134781
599,132670
599,122647
600,132713
600,132721
601,132745
601,132779
602,132820
602,134898
603,132843
603,132856
604,132857
604,132874
605,122801
605,134903
606,132893
606,132900
607,132902
607,132904
608,132907
608,132909
609,132934
609,132959
610,132962
610,132975
611,132994
611,132997
612,133005
612,133009
613,133020
613,133024
614,133047
614,133057
615,133091
615,133126
616,123059
616,133142
617,133148
617,133151
618,133164
618,133189
619,133191
619,133220
620,133260
620,123158
621,133270
621,123179
622,133327
622,133345
623,133347
623,133365
624,133408
624,133392
625,134696
625,133410
626,133420
626,133443
627,133457
627,134921
628,133467
628,133553
629,133561
629,133563
630,133572
630,133576
631,135003
631,133608
632,134927
632,133624
633,133688
633,133724
634,133725
634,135005
635,133778
635,133782
636,133786
636,133802
637,133829
637,133831
638,133842
638,133864
639,133906
639,133914
640,133927
640,133934
641,133935
641,133939
642,133945
642,123817
643,133995
643,133999
644,134009
644,134015
645,134027
645,134028
646,134029
646,134032
647,134039
647,134043
648,134044
648,134051
649,134934
649,134064
650,134069
650,134094
651,134145
651,134169
652,134185
652,134224
653,134242
653,134288
654,134291
654,134294
655,134316
655,134317
656,134370
656,134382
657,134384
657,134401
658,134413
658,134422
659,124315
659,134473
660,134490
660,134522
661,134552
661,124405
662,134556
662,134557
663,134560
666,130970
666,131218
667,131573
667,131688
